,gender,age
0,F,29
1,M,54
2,F,59
3,M,43
4,F,39
5,M,80
6,M,70
7,F,61
8,M,64
9,M,56
10,F,49
11,M,18
12,F,25
13,F,57
14,F,81
15,M,80
16,M,65
17,F,68
18,M,57
19,M,20
20,F,47
21,F,30
22,M,26
23,F,60
24,F,60
25,F,30
26,F,33
27,M,54
28,F,48
29,F,42
30,M,37
31,M,19
32,F,51
33,F,21
34,M,29
35,F,26
36,M,31
37,F,42
38,M,31
39,M,64
40,M,79
41,F,22
42,M,47
43,F,59
44,M,65
45,M,59
46,F,40
47,F,21
48,F,20
49,M,75
50,M,22
51,F,51
52,M,39
53,F,38
54,F,72
55,M,42
56,M,19
57,F,51
58,M,67
59,M,40
60,M,73
61,F,56
62,F,48
63,F,67
64,M,53
65,M,74
66,F,72
67,M,76
68,M,75
69,F,74
70,F,22
71,F,32
72,F,43
73,F,55
74,F,30
75,F,20
76,M,23
77,F,20
78,F,21
79,M,20
80,M,38
81,F,30
82,F,53
83,F,48
84,M,24
85,M,59
86,F,33
87,M,74
88,M,52
89,F,47
90,M,27
91,M,34
92,F,26
93,M,26
94,F,57
95,M,56
96,F,41
97,M,44
98,M,19
99,F,31
100,M,27
101,M,36
102,F,32
103,M,64
104,F,59
105,F,30
106,M,30
107,M,57
108,F,63
109,M,77
110,F,77
111,M,23
112,F,21
113,F,36
114,M,30
115,M,32
116,M,63
117,F,70
118,F,49
119,F,26
120,F,52
121,M,57
122,F,22
123,M,46
124,M,67
125,F,61
126,F,78
127,M,76
128,F,27
129,F,40
130,M,38
131,M,74
132,M,62
133,M,21
134,M,41
135,M,21
136,F,38
137,F,66
138,M,59
139,M,51
140,F,19
141,F,28
142,F,54
143,F,18
144,M,66
145,F,60
146,F,69
147,F,56
148,F,54
149,M,61
150,F,57
151,F,56
152,M,58
153,M,66
154,F,37
155,M,31
156,F,38
157,F,21
158,F,23
159,M,46
160,F,53
161,M,70
162,F,64
163,F,81
164,M,21
165,M,39
166,M,70
167,M,39
168,M,19
169,M,17
170,M,32
171,F,40
172,F,21
173,M,27
174,M,45
175,F,38
176,M,57
177,M,39
178,M,80
179,F,52
180,M,45
181,M,28
182,M,37
183,F,75
184,M,80
185,F,72
186,M,66
187,M,23
188,M,76
189,F,71
190,F,69
191,F,23
192,M,37
193,F,32
194,F,57
195,F,36
196,M,67
197,F,59
198,M,64
199,M,60
200,F,54
201,M,24
202,M,32
203,M,39
204,F,25
205,F,19
206,F,35
207,F,22
208,F,27
209,F,47
210,M,44
211,M,63
212,M,57
213,F,73
214,F,43
215,M,30
216,F,32
217,M,58
218,F,78
219,F,41
220,M,44
221,F,56
222,M,38
223,F,30
224,F,38
225,F,25
226,F,70
227,M,40
228,F,38
229,M,45
230,F,29
231,M,42
232,F,30
233,M,29
234,F,20
235,F,23
236,F,30
237,F,52
238,M,36
239,F,48
240,F,36
241,F,57
242,M,62
243,M,33
244,F,37
245,F,62
246,M,54
247,M,37
248,M,21
249,F,66
250,F,32
251,M,32
252,F,17
253,F,76
254,M,52
255,F,54
256,F,55
257,F,27
258,F,29
259,F,81
260,M,42
261,F,38
262,F,27
263,M,29
264,F,30
265,F,61
266,M,66
267,M,25
268,M,45
