,loan_id,account_id,loan_date,amount,duration,payments,status,birth_number,client_district,account_district,frequency,account_date,card_type,name,region,no. of inhabitants,no. of municipalities with inhabitants < 499 ,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999 ,no. of municipalities with inhabitants >10000 ,no. of cities ,ratio of urban inhabitants ,average salary ,unemploymant rate '95 ,unemploymant rate '96 ,no. of enterpreneurs per 1000 inhabitants ,no. of commited crimes '95 ,no. of commited crimes '96 ,trans_date_min,trans_date_max,trans_amount_min,trans_amount_max,trans_amount_mean,trans_amount_std,trans_amount_last,trans_balance_min,trans_balance_max,trans_balance_mean,trans_balance_std,trans_balance_last,trans_type_n_credit,trans_type_n_withdrawal,operation_n_credit_cash,operation_n_collection_from_another_bank,operation_n_withdrawal_in_cash,operation_n_remittance_to_another_bank,operation_n_credit_card_withdrawal,operation_n_interest_credited
0,4959,2,940105,80952,24,3373,1.0,450204,1,1,monthly issuance,930226,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,930226,931231,13.5,30354.0,7954.2574074074055,8793.271132349984,138.3,1100.0,67529.6,32590.62407407406,12061.705681876094,27855.2,22,32,2,10,27,5,0,10
1,4961,19,960429,30276,12,2523,-1.0,395423,21,21,monthly issuance,950407,none,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,950407,960410,14.6,22708.0,5856.299999999998,7074.892541868558,15139.0,715.0,58157.5,25197.09249999999,15039.248404932323,15854.0,46,34,9,13,34,0,0,24
5,4973,67,960502,165960,24,6915,1.0,445613,16,16,monthly issuance,941019,none,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,941019,960430,14.6,62235.0,12822.353600000004,16442.527059096476,114.1,700.0,107069.6,52523.24480000004,20955.646998372446,23703.8,37,88,1,18,60,28,0,18
10,4996,132,961106,88440,12,7370,1.0,455703,40,40,issuance after transaction,960511,none,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,960511,961031,100.0,47976.0,14850.767741935484,14855.181613124918,282.6,200.0,103239.0,62778.09032258065,21638.258869671175,79007.6,16,15,10,0,15,0,0,6
11,5002,173,940531,104808,12,8734,1.0,391130,66,66,monthly issuance,931126,none,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,931126,940525,14.6,25970.0,6642.553333333333,7504.299349900663,3900.0,500.0,57865.3,38709.829999999994,11517.175248212317,28015.4,12,18,7,0,10,8,0,5
15,5032,290,941103,123696,48,2577,1.0,400827,56,56,monthly issuance,931202,none,Breclav,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,931202,941031,14.6,48476.0,8953.219672131147,12421.023954674856,14.6,300.0,89822.2,49084.381967213114,20572.457529737083,25187.2,22,39,12,0,27,12,0,10
22,5044,344,941221,100980,60,1683,1.0,650731,54,54,monthly issuance,931201,none,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,931201,941210,14.6,22900.0,5261.0485714285705,6252.813291787501,4739.0,600.0,53376.7,35614.74428571429,9576.327716908689,48637.7,27,43,15,0,34,9,0,12
23,5045,347,950501,187224,24,7801,-1.0,471008,1,65,monthly issuance,931213,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,931213,950430,0.2,51900.0,10834.715909090908,13396.172197189593,14.6,-243.3,92571.3,42084.311363636334,22038.48158908669,50832.1,38,50,21,0,50,0,0,17
26,5060,426,940719,252060,60,4201,-1.0,655803,60,1,monthly issuance,931129,none,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,931129,940714,8.2,49937.0,11625.122950819672,11797.011016092076,13990.0,900.0,106259.6,57340.50819672131,21418.913855883657,70096.5,26,35,19,0,25,10,0,7
30,5082,501,961024,262980,60,4383,1.0,665309,13,13,monthly issuance,951021,none,Rakovnik,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,951021,961016,14.6,44022.0,7310.239285714285,10995.412915371548,43444.0,900.0,78574.3,41729.616071428565,16330.173222315432,76081.3,24,32,13,0,32,0,0,11
32,5088,544,960822,91152,24,3798,1.0,421210,32,32,monthly issuance,950515,classic,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505,950515,960819,14.6,34184.0,9452.944155844154,10326.35727247581,3800.0,400.0,72327.7,44829.54415584412,13400.064096640634,39378.8,31,46,2,15,45,0,1,14
37,5125,789,951123,73056,48,1522,1.0,701218,39,39,monthly issuance,950206,none,Most,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,950206,951112,14.6,8538.0,2445.3274509803928,2463.7691430877553,5692.0,500.0,33555.4,23255.149019607838,6550.595429955129,21545.7,23,28,14,0,18,10,0,9
38,5126,790,940724,208128,48,4336,-1.0,510806,54,54,monthly issuance,930511,none,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,930511,940721,14.6,47493.0,9442.159375,12749.278280024244,38929.0,-1069.7,96064.0,36369.97499999999,22812.186440376034,81474.6,29,35,16,0,35,0,0,13
39,5128,808,960411,215616,48,4492,-1.0,570217,69,69,monthly issuance,950613,none,Jesenik,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,950613,960408,6.8,23130.0,5273.670491803279,6437.553424020244,3400.0,-3424.6,50124.8,21447.624590163923,13056.987306542755,8640.6,30,31,12,0,31,0,0,18
40,5130,813,940511,24312,12,2026,1.0,556119,16,16,monthly issuance,930210,none,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,930210,940506,14.6,24322.0,4949.474358974358,6039.628286369602,6600.0,1100.0,48277.9,29380.83974358974,7695.862800862465,28461.9,37,41,7,15,41,0,0,15
